"Id_Ligne_ecriture","Libelle","Debit","Credit","Reference","Quantite","Id_Mode_paiement","Id_Mouvement_ecriture","Id_Journal","Id_Sous_compte","statut","date_validation","valide_par"
"315","Peinture","750000.00","0.00","MO peinture 2cole",1,NULL,"16","4","206","valide","2025-10-16 19:46:41",NULL
"317","Peinture","1000000.00","0.00","Peintures AURLAC",1,NULL,"16","4","206","valide","2025-10-16 19:46:41",NULL
"320","Achat legumes cantine","45000.00","0.00","Achat légumes",1,NULL,"16","4","118","valide","2025-10-16 19:46:41",NULL
"322","Achat viande et poisson cantine","25000.00","0.00","Achat viande",1,NULL,"16","4","119","valide","2025-10-16 19:46:41",NULL
"324","Achat de gouters","20000.00","0.00","Achat gouter",1,NULL,"16","4","202","valide","2025-10-16 19:46:41",NULL
"32","Caisse centrale - Ariary","0.00","25000.00","Mouvement legumes",1,NULL,"8","4","73","valide","2025-10-16 12:29:21",NULL
"83","Caisse centrale - Ariary","0.00","500000.00","mouvement salaire",1,NULL,"10","4","73","valide","2025-10-16 16:02:40",NULL
"87","Caisse centrale - Ariary","2500000.00","0.00","mouvement appro caisse",1,NULL,"10","4","73","valide","2025-10-16 16:02:40",NULL
"98","Caisse centrale - Ariary","0.00","500000.00","mouvement salaire",1,NULL,"10","4","73","valide","2025-10-16 16:02:40",NULL
"101","Caisse centrale - Ariary","0.00","56000.00","mouvement IRSA",1,NULL,"10","4","73","valide","2025-10-16 16:02:40",NULL
"61","Caisse centrale - Ariary","0.00","100000.00","Mouvement virement",1,NULL,"9","4","73","valide","2025-10-16 13:31:15",NULL
"75","Caisse centrale - Ariary","0.00","10000.00","Achat cahier registre",1,NULL,"9","4","73","valide","2025-10-16 13:31:15",NULL
"62","Caisse centrale - Ariary","1950000.00","0.00","Mouvement ecolage",1,NULL,"9","4","73","valide","2025-10-16 13:31:15",NULL
"251","Caisse centrale - Ariary","600000.00","0.00","mouvement inscription",1,NULL,"14","4","73","valide","2025-10-16 18:05:40",NULL
"255","Caisse centrale - Ariary","150000.00","0.00","mouvement ecolage",1,NULL,"14","4","73","valide","2025-10-16 18:05:40",NULL
"64","Caisse centrale - Ariary","0.00","1200000.00","virement bancaire",1,NULL,"9","4","73","valide","2025-10-16 13:31:15",NULL
"66","Caisse centrale - Ariary","0.00","40000.00","denrées alimentaires",1,NULL,"9","4","73","valide","2025-10-16 13:31:15",NULL
"69","Caisse centrale - Ariary","0.00","32500.00","jirama",1,NULL,"9","4","73","valide","2025-10-16 13:31:15",NULL
"73","Caisse centrale - Ariary","0.00","250000.00","Paiement salaire maitresse A",1,NULL,"9","4","73","valide","2025-10-16 13:31:15",NULL
"120","Caisse centrale - Ariary","0.00","1250000.00","Mouvement salaire",1,NULL,"11","4","73","valide","2025-10-16 16:44:23",NULL
"129","Caisse centrale - Ariary","0.00","78000.00","mouvement denrées",1,NULL,"11","4","73","valide","2025-10-16 16:44:23",NULL
"205","Caisse centrale - Ariary","900000.00","0.00","mouvement ecolage",1,NULL,"13","4","73","valide","2025-10-16 17:35:55",NULL
"213","Caisse centrale - Ariary","0.00","85000.00","Mouvement denrées",1,NULL,"13","4","73","valide","2025-10-16 17:35:55",NULL
"219","Caisse centrale - Ariary","160000.00","0.00","Mouvement location livres",1,NULL,"13","4","73","valide","2025-10-16 17:35:55",NULL
"154","Caisse centrale - Ariary","0.00","93000.00","mouvement denrées",1,NULL,"12","4","73","valide","2025-10-16 17:15:21",NULL
"166","Caisse centrale - Ariary","750000.00","0.00","Mouvement ecolage",1,NULL,"12","4","73","valide","2025-10-16 17:15:21",NULL
"174","Caisse centrale - Ariary","0.00","50000.00","Mouvement denrées",1,NULL,"12","4","73","valide","2025-10-16 17:15:21",NULL
"189","Caisse centrale - Ariary","750000.00","0.00","Mouvement ecolage",1,NULL,"12","4","73","valide","2025-10-16 17:15:21",NULL
"225","Caisse centrale - Ariary","110000.00","0.00","mouvement location livre & activite sportive",1,NULL,"14","4","73","valide","2025-10-16 18:05:40",NULL
"232","Caisse centrale - Ariary","0.00","88000.00","mouvement denrées",1,NULL,"14","4","73","valide","2025-10-16 18:05:40",NULL
"245","Caisse centrale - Ariary","100000.00","0.00","mouvement tee shirt",1,NULL,"14","4","73","valide","2025-10-16 18:05:40",NULL
"264","Caisse centrale - Ariary","450000.00","0.00","mouvement ecolage",1,NULL,"15","4","73","valide","2025-10-16 19:02:51",NULL
"271","Caisse centrale - Ariary","0.00","70000.00","mouvement denrées",1,NULL,"15","4","73","valide","2025-10-16 19:02:51",NULL
"286","Caisse centrale - Ariary","320000.00","0.00","mouvement livres, activite",1,NULL,"15","4","73","valide","2025-10-16 19:02:51",NULL
"291","Caisse centrale - Ariary","150000.00","0.00","mouvement location livre",1,NULL,"16","4","73","valide","2025-10-16 19:46:41",NULL
"296","Caisse centrale - Ariary","0.00","382000.00","mouvement materiel pedagogique",1,NULL,"16","4","73","valide","2025-10-16 19:46:41",NULL
"300","Caisse centrale - Ariary","0.00","520000.00","mouvement publicite",1,NULL,"16","4","73","valide","2025-10-16 19:46:41",NULL
"308","Caisse centrale - Ariary","0.00","122000.00","mouvement denrées",1,NULL,"16","4","73","valide","2025-10-16 19:46:41",NULL
"318","Caisse centrale - Ariary","0.00","5028000.00","mouvement entretien et equipement",1,NULL,"16","4","73","valide","2025-10-16 19:46:41",NULL
"325","Caisse centrale - Ariary","0.00","90000.00","Achat denrées",1,NULL,"16","4","73","valide","2025-10-16 19:46:41",NULL
