Id_Sous_compte,Code_sous_compte,Libelle,Id_Compte
116,211001,Terrains du campus,39
117,213001,Constructions - Batiments administratifs,41
118,213002,Constructions - Salles de classe,41
119,213003,Constructions - Bibliotheque et laboratoires,41
120,215001,Materiel informatique,42
121,215002,Materiel pedagogique,42
122,218001,Mobilier scolaire,43
123,218002,Vehicules de transport scolaire,43
166,701001,Ventes de manuels scolaires produits en interne,210
167,701002,Ventes de cahiers personnalises ecole,210
168,701003,Ventes de uniformes scolaires fabriques,210
169,702001,Vente de polycopies,211
170,702002,Vente de fascicules de cours,211
171,703001,Vente de materiels scolaires usagers,212
172,703002,Vente de livres anciens ou surplus,212
173,704001,Travaux realises par eleves (expos, projets),213
174,704002,Travaux pratiques vendus,213
175,705001,Etudes ou recherches pedagogiques,214
176,706001,Frais de scolarite,215
177,706002,Frais dinscription,215
178,706003,Frais de transport scolaire,215
179,706004,Frais de cantine,215
180,706005,Frais de garderie,215
181,707001,Vente de fournitures scolaires,216
182,707002,Vente de uniformes scolaires,216
183,707003,Vente de articles divers (snack, boissons),216
184,708001,Location salles ou materiels,217
185,708002,Organisation fetes et evenements,217
186,708003,Club parascolaire (sport musique art),217
187,709001,Remises frais de scolarite,218
188,709002,Rabais sur ventes de fournitures,218
189,713001,Variation stock fournitures,219
190,713002,Variation stock uniformes,219
191,714001,Variation stock livres,220
192,714002,Variation stock marchandises annexes,220
193,721001,Developpement logiciel pedagogique,221
194,722001,Amenagements classes ou laboratoires,222
195,741001,Subvention de lEtat,223
196,741002,Subvention dautorites locales,223
197,748001,Subvention ONG et associations,224
198,748002,Subvention entreprises privees,224
199,751001,Location logiciels pedagogiques,225
200,751002,Utilisation brevets pedagogiques,225
201,752001,Cession anciens ordinateurs,226
202,752002,Cession anciens vehicules scolaires,226
203,753001,Remuneration conseil administration,227
204,754001,Subventions constructions batiments,228
205,756001,Dons de materiels scolaires,230
206,756002,Dons financiers,230
207,757001,Produits exceptionnels sur gestion,231
208,758001,Revenus divers non specifies,232
209,761001,Revenus participation associations scolaires,233
210,763001,Revenus creances sur parents,235
211,764001,Revenus placement court terme,236
212,766001,Gains sur operations devises,237
213,768001,Produits financiers divers,239
214,781001,Reprise sur batiments,240
215,781002,Reprise sur materiels,240
216,785001,Reprise sur stocks,241
217,786001,Reprise sur emprunts,242
218,786002,Reprise sur creances douteuses,242
219,531001,Caisse generale,243
220,164001,Pret bancaire,23
221,168001,Emprunt,26
222,641004,Salaire du gardien,184
223,641005,Salaire de la femme de ménage,184
